DELIVERY_DATE,HOUR_ENDING,ACTUAL_SYSTEM_WIDE,COP_HSL_SYSTEM_WIDE,STPPF_SYSTEM_WIDE,PVGRPP_SYSTEM_WIDE,DSTFlag
1/18/2022,18,961.82,855.6,967.3,567,N
1/18/2022,19,5.55,8.6,17.1,9.6,N
1/18/2022,20,0.16,0,0,0,N
1/18/2022,21,0.16,0,0,0,N
1/18/2022,22,0.16,0,0,0,N
1/18/2022,23,0.16,0,0,0,N
1/19/2022,0,0.1,0,0,0,N
1/19/2022,1,0.16,0,0,0,N
1/19/2022,2,0.16,0,0,0,N
1/19/2022,3,0.16,0,0,0,N
1/19/2022,4,0.16,0,0,0,N
1/19/2022,5,0.16,0,0,0,N
1/19/2022,6,0.16,0,0,0,N
1/19/2022,7,0.16,0,0,0,N
1/19/2022,8,28.08,36.2,39.7,16,N
1/19/2022,9,1884.23,1197.1,1077.5,656.9,N
1/19/2022,10,5430.45,4812.8,5221.3,4031,N
1/19/2022,11,4430.4,6030.9,6633.6,5479.9,N
1/19/2022,12,3285.03,6141.9,6073.7,5145.6,N
1/19/2022,13,3039.27,6136.3,5712.2,4888.4,N
1/19/2022,14,2858.16,5938.6,5533.3,4675.4,N
1/19/2022,15,2627.93,5877.5,5459.4,4518.1,N
1/19/2022,16,1819.64,5530.8,5115.1,4141.2,N
1/19/2022,17,927.01,3973,3749.7,2792,N
1/19/2022,18,403.98,854.7,962.4,552.1,N
1/19/2022,19,2.36,9.8,23.9,14.4,N
1/19/2022,20,0.11,0,0,0,N
1/19/2022,21,0.1,0,0,0,N
1/19/2022,22,0.1,0,0,0,N
1/19/2022,23,0.1,0,0,0,N
1/20/2022,0,0.17,0,0,0,N
1/20/2022,1,0.1,0,0,0,N
1/20/2022,2,0.1,0,0,0,N
1/20/2022,3,0.1,0,0,0,N
1/20/2022,4,0.11,0,0,0,N
1/20/2022,5,0.1,0,0,0,N
1/20/2022,6,0.1,0,0,0,N
1/20/2022,7,0.1,0,0,0,N
1/20/2022,8,7.62,14.2,23,7.9,N
1/20/2022,9,329.51,454.1,415.3,146.5,N
1/20/2022,10,1106.04,1690.4,1527.8,598.2,N
1/20/2022,11,1742.78,2490.5,2135.4,1016.5,N
1/20/2022,12,2501.5,3153.7,2660,1516.7,N
1/20/2022,13,2894.93,3746.2,3413.9,2284.7,N
1/20/2022,14,3261.97,3825.2,3249.3,2104.8,N
1/20/2022,15,3371.08,3529.4,3016.7,1727.8,N
1/20/2022,16,2642.86,3195.3,3073.8,1809.6,N
1/20/2022,17,1644.86,2062.9,2003.3,922.5,N
1/20/2022,18,484.11,634.6,578.6,179.4,N
1/20/2022,19,4.68,12.9,15.9,6,N
1/20/2022,20,0.17,0,0,0,N
1/20/2022,21,0.17,0,0,0,N
1/20/2022,22,0.17,0,0,0,N
1/20/2022,23,0.17,0,0,0,N
1/21/2022,0,0.02,0,0,0,N
1/21/2022,1,0.17,0,0,0,N
1/21/2022,2,0.17,0,0,0,N
1/21/2022,3,0.17,0,0,0,N
1/21/2022,4,0.17,0,0,0,N
1/21/2022,5,0.17,0,0,0,N
1/21/2022,6,0.17,0,0,0,N
1/21/2022,7,0.17,0,0,0,N
1/21/2022,8,33.57,56.2,57.2,29.2,N
1/21/2022,9,2147.21,1294.9,1158.2,733.8,N
1/21/2022,10,5910.2,4863.5,5489.9,4047.7,N
1/21/2022,11,6556.63,6094.6,6952.6,5416.1,N
1/21/2022,12,6572.74,6467.7,6650.9,5508.9,N
1/21/2022,13,6620.79,6750.2,6588.2,5685.1,N
1/21/2022,14,6705.23,6789.8,6646.9,5888.7,N
1/21/2022,15,6853.89,6947.6,6914.1,5996,N
1/21/2022,16,7167.76,6997.6,6919.2,6033,N
1/21/2022,17,6054.2,5378.3,5402.6,4450.7,N
1/21/2022,18,1838.75,1295.8,1467.3,1001.7,N
1/21/2022,19,17.79,18.2,45.3,31.7,N
1/21/2022,20,0.02,0,0,0,N
1/21/2022,21,0.02,0,0,0,N
1/21/2022,22,0.02,0,0,0,N
1/21/2022,23,0.02,0,0,0,N
1/22/2022,0,0.1,0,0,0,N
1/22/2022,1,0.03,0,0,0,N
1/22/2022,2,0.03,0,0,0,N
1/22/2022,3,0.03,0,0,0,N
1/22/2022,4,0.05,0,0,0,N
1/22/2022,5,0.08,0,0,0,N
1/22/2022,6,0.08,0,0,0,N
1/22/2022,7,0.07,0,0,0,N
1/22/2022,8,67.13,77.5,77.4,43.4,N
1/22/2022,9,2246.16,1608.2,1445.8,1039.4,N
1/22/2022,10,4776.94,5115.2,5502.8,4170.7,N
1/22/2022,11,4359.03,5948.5,5862.2,4288.2,N
1/22/2022,12,4106.67,5842.4,4740.2,3315.4,N
1/22/2022,13,4136.31,5311.1,4064.3,2936.1,N
1/22/2022,14,3966.54,4720.1,4096.5,3015.9,N
1/22/2022,15,3912.32,4265,3876.8,2704.7,N
1/22/2022,16,3305.26,3897.6,3609.4,2445,N
1/22/2022,17,2377.59,2660.8,2551.6,1403.1,N
1/22/2022,18,613.72,663.3,667.3,261.8,N
1/22/2022,19,5.58,12.9,16.8,6,N
1/22/2022,20,0.1,0,0,0,N
1/22/2022,21,0.1,0,0,0,N
1/22/2022,22,0.1,0,0,0,N
1/22/2022,23,0.1,0,0,0,N
1/23/2022,0,0.11,0,0,0,N
1/23/2022,1,0.1,0,0,0,N
1/23/2022,2,0.1,0,0,0,N
1/23/2022,3,0.1,0,0,0,N
1/23/2022,4,0.1,0,0,0,N
1/23/2022,5,0.1,0,0,0,N
1/23/2022,6,0.1,0,0,0,N
1/23/2022,7,0.1,0,0,0,N
1/23/2022,8,38.89,46.5,46.7,24.4,N
